model,fpr,tpr
Logistic regression,0.0,0.0
Logistic regression,0.0,0.009523809523809525
Logistic regression,0.0,0.9333333333333333
Logistic regression,0.002867383512544803,0.9333333333333333
Logistic regression,0.002867383512544803,0.9523809523809523
Logistic regression,0.004301075268817204,0.9523809523809523
Logistic regression,0.004301075268817204,0.9714285714285714
Logistic regression,0.01863799283154122,0.9714285714285714
Logistic regression,0.01863799283154122,0.9809523809523809
Logistic regression,0.04157706093189964,0.9809523809523809
Logistic regression,0.04157706093189964,0.9904761904761905
Logistic regression,0.056630824372759854,0.9904761904761905
Logistic regression,0.056630824372759854,1.0
Logistic regression,1.0,1.0
Random forest,0.0,0.0
Random forest,0.0,0.0380952380952381
Random forest,0.0,0.8761904761904762
Random forest,0.0007168458781362007,0.8761904761904762
Random forest,0.0007168458781362007,0.8952380952380953
Random forest,0.002150537634408602,0.8952380952380953
Random forest,0.002150537634408602,0.9047619047619048
Random forest,0.002867383512544803,0.9047619047619048
Random forest,0.002867383512544803,0.9428571428571428
Random forest,0.004301075268817204,0.9428571428571428
Random forest,0.004301075268817204,0.9523809523809523
Random forest,0.007168458781362007,0.9523809523809523
Random forest,0.007168458781362007,0.9619047619047619
Random forest,0.00931899641577061,0.9619047619047619
Random forest,0.00931899641577061,0.9714285714285714
Random forest,0.012186379928315413,0.9714285714285714
Random forest,0.012186379928315413,0.9809523809523809
Random forest,0.04014336917562724,0.9809523809523809
Random forest,0.04014336917562724,0.9904761904761905
Random forest,0.15913978494623657,0.9904761904761905
Random forest,0.15913978494623657,1.0
Random forest,0.41863799283154124,1.0
Random forest,0.421505376344086,1.0
Random forest,0.4738351254480287,1.0
Random forest,0.4752688172043011,1.0
Random forest,0.4960573476702509,1.0
Random forest,0.4989247311827957,1.0
Random forest,0.5003584229390681,1.0
Random forest,0.5017921146953405,1.0
Random forest,0.5096774193548387,1.0
Random forest,0.5111111111111111,1.0
Random forest,0.5161290322580645,1.0
Random forest,0.5175627240143369,1.0
Random forest,0.5182795698924731,1.0
Random forest,0.5197132616487455,1.0
Random forest,0.5204301075268817,1.0
Random forest,0.5218637992831541,1.0
Random forest,0.5232974910394266,1.0
Random forest,0.5261648745519714,1.0
Random forest,0.5297491039426523,1.0
Random forest,0.5318996415770609,1.0
Random forest,0.5333333333333333,1.0
Random forest,0.5347670250896057,1.0
Random forest,0.5362007168458781,1.0
Random forest,0.5390681003584229,1.0
Random forest,0.5397849462365591,1.0
Random forest,0.5426523297491039,1.0
Random forest,0.5448028673835126,1.0
Random forest,0.5469534050179211,1.0
Random forest,0.5498207885304659,1.0
Random forest,0.5519713261648745,1.0
Random forest,0.5526881720430108,1.0
Random forest,0.5562724014336917,1.0
Random forest,0.556989247311828,1.0
Random forest,0.5591397849462365,1.0
Random forest,0.560573476702509,1.0
Random forest,0.5612903225806452,1.0
Random forest,0.5627240143369175,1.0
Random forest,0.5655913978494623,1.0
Random forest,0.5691756272401434,1.0
Random forest,0.5720430107526882,1.0
Random forest,0.5741935483870968,1.0
Random forest,0.5756272401433692,1.0
Random forest,0.5813620071684588,1.0
Random forest,0.5849462365591398,1.0
Random forest,0.592831541218638,1.0
Random forest,0.5956989247311828,1.0
Random forest,0.5971326164874552,1.0
Random forest,0.5985663082437276,1.0
Random forest,0.6007168458781362,1.0
Random forest,0.603584229390681,1.0
Random forest,0.6078853046594982,1.0
Random forest,0.6100358422939068,1.0
Random forest,0.6222222222222222,1.0
Random forest,1.0,1.0
